Protein accession number	Protein Name	location		
YHR190W	"ERG9  Farnesyl-diphosphate farnesyl transferase (squalene synthase), joins two farnesyl pyrophosphate moieties to form squalene in the sterol biosynthesis pathway"	mitochondrial		
YGR029W	"ERV1  Flavin-linked sulfhydryl oxidase localized to the mitochondrial intermembrane space, has a role in the maturation of cytosolic iron-sulfur proteins; ortholog of human hepatopoietin (ALR)"	mitochondrial		
YOR317W	FAA1  Long chain fatty acyl-CoA synthetase with a preference for C12:0-C16:0 fatty acids; involved in the activation of imported fatty acids; not required for growth on nonfermentable carbon sources; essential for stationary phase	mitochondrial		
YNL256W	"FOL1  Multifunctional enzyme of the folic acid biosynthesis pathway, has dihydropteroate synthetase, dihydro-6-hydroxymethylpterin pyrophosphokinase, and dihydroneopterin aldolase activities"	mitochondrial		
YML048W	"GSF2 (ECM6) ER localized integral membrane protein that may promote secretion of certain hexose transporters, including Gal2p; involved in glucose-dependent repression"	mitochondrial		
YIR038C	"GTT1  ER associated glutathione S-transferase capable of homodimerization; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p, Grx1p, and Grx2p"	mitochondrial		
YER048W-A	ISD11  Protein required for mitochondrial iron-sulfur cluster biosynthesis	mitochondrial		
YPL060W	"LPE10  Mitochondrial inner membrane magnesium transporter, involved in maintenance of magnesium concentrations inside mitochondria; indirectly affects splicing of group II introns; functionally and structurally related to Mrs2p"	mitochondrial		
YPL004C	"LSP1  Long chain base-responsive inhibitor of protein kinases Pkh1p and Pkh2p, acts along with Pil1p to down-regulate heat stress resistance via regulation of the Pkc1p and Ypk1p pathways; phosphorylated by Phk1p and Phk2p"	mitochondrial		
YKL150W	"MCR1  Mitochondrial NADH-cytochrome b5 reductase, involved in ergosterol biosynthesis"	mitochondrial		
YOR232W	"MGE1 (GRPE,YGE1) Protein of the mitochondrial matrix involved in protein import into mitochondria; acts as a cochaperone and a nucleotide release factor for Ssc1p; homolog of E. coli GrpE"	mitochondrial		
YHR042W	NCP1 (CPR1) NADP-cytochrome P450 reductase; involved in ergosterol biosynthesis; associated and coordinately regulated with Erg11p	mitochondrial		
YGR086C	"PIL1  Long chain base-responsive inhibitor of protein kinases Pkh1p and Pkh2p, acts along with Lsp1p to down-regulate heat stress resistance via regulation of the Pkc1p and Ypk1p pathways; phosphorylated by Phk1p and Phk2p"	mitochondrial		
YLL013C	"PUF3  Protein that regulates degradation of specific mRNAs such as COX17, binds almost exclusively to cytoplasmic mRNAs encoding mitochondrial proteins, member of the PUF protein family that contains Pumilio homology domains"	mitochondrial		
YPR191W	"QCR2 (UCR2,COR2) Subunit 2 of the ubiquinol cytochrome-c reductase complex, which is a component of the mitochondrial inner membrane electron transport chain; transcription is regulated by Hap1p, Hap2p/Hap3p, and heme"	mitochondrial		
YKL212W	"SAC1 (RSD1) Lipid phosphoinositide phosphatase of the ER and Golgi, involved in protein trafficking and secretion"	mitochondrial		
YFL005W	SEC4 (SRO6) Secretory vesicle-associated Rab GTPase essential for exocytosis; associates with the exocyst component Sec15p and may regulate polarized delivery of transport vesicles to the exocyst at the plasma membrane	mitochondrial		
YJR104C	"SOD1 (CRS4) Cu, Zn superoxide dismutase; some mutations are analogous to those that cause ALS (amyotrophic lateral sclerosis) in humans"	mitochondrial		
YJR045C	"SSC1 (mtHSP70,ENS1) Mitochondrial matrix ATPase that is a subunit of the presequence translocase-associated protein import motor (PAM); involved in protein translocation into the matrix and protein folding; member of the heat shock protein 70 (HSP70) family"	mitochondrial		
YKR001C	"VPS1 (VPT26,VPL1,SPO15,LAM1,GRD1) GTPase required for vacuolar protein sorting, functions in actin cytoskeleton organization via its interaction with Sla1p; required for late Golgi-retention of some proteins including Kex2p; involved in regulating peroxisome biogenesis"	mitochondrial		
YOR089C	"VPS21 (YPT51,YPT21,VPT12,VPS12) GTPase required for transport during endocytosis and for correct sorting of vacuolar hydrolases; localized in endocytic intermediates; detected in mitochondria; geranylgeranylation required for membrane association; mammali"	mitochondrial		
YKL067W	"YNK1 (NDK1) Nucleoside diphosphate kinase, catalyzes the transfer of gamma phosphates from nucleoside triphosphates, usually ATP, to nucleoside diphosphates by a mechanism that involves formation of an autophosphorylated enzyme intermediate"	mitochondrial		
YER031C	"YPT31 (YPT8) GTPase of the Ypt/Rab family, very similar to Ypt32p; involved in the exocytic pathway; mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi"	mitochondrial		
YGL210W	"YPT31 (YPT8) GTPase of the Ypt/Rab family, very similar to Ypt32p; involved in the exocytic pathway; mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi"	mitochondrial		
YML001W	"YPT7 (VAM4,AST4) GTPase; GTP-binding protein of the rab family; required for homotypic fusion event in vacuole inheritance, for endosome-endosome fusion, similar to mammalian Rab7"	mitochondrial		
YOL109W	ZEO1  Peripheral membrane protein of the plasma membrane that interacts with Mid2p; regulates the cell integrity pathway mediated by Pkc1p and Slt2p	mitochondrial		
YBR177C	"EHT1  Possible serine hydrolase, may be involved in lipid metabolism, null mutant slightly temperature sensitive at 37C"	mitochondrial		
YDR298C	"ATP5 (OSC1) Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein)"	mitochondrial		
YBL030C	"PET9 (OP1,ANC2,AAC2) Major ADP/ATP carrier of the mitochondrial inner membrane, exchanges cytosolic ADP for mitochondrially synthesized ATP; required for viability in many common lab strains carrying a mutation in the polymorphic SAL1 gene"	mitochondrial		
YPR024W	"YME1 (YTA11,OSD1) Subunit, with Mgr1p, of the mitochondrial inner membrane i-AAA protease complex, which is responsible for degradation of unfolded or misfolded mitochondrial gene products; mutation causes an elevated rate of mitochondrial turnover"	mitochondrial		
YKL195W	"MIA40 (TIM40,FMP15) Essential protein of the mitochondrial intermembrane space, involved in import and assembly of intermembrane space proteins"	mitochondrial		
YGR231C	"PHB2  Subunit of the prohibitin complex (Phb1p-Phb2p), a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation"	mitochondrial		
YGR132C	"PHB1  Subunit of the prohibitin complex (Phb1p-Phb2p), a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation"	mitochondrial		
YEL020W-A	"TIM9  Mitochondrial intermembrane space protein, forms a complex with Mrs11p/Tim10p that mediates import and insertion of a subset of polytopic inner membrane proteins; may prevent aggregation of incoming proteins in a chaperone-like manner"	mitochondrial		
YMR072W	"ABF2  Mitochondrial DNA-binding protein involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family; activity may be regulated by protein kinase A phosphorylation"	mitochondrial		
YGR198W	  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; YGR198W is an essential gene	plasma membrane		
YML116W	"ATR1 (SNQ1) Multidrug efflux pump of the major facilitator superfamily, required for resistance to aminotriazole and 4-nitroquinoline-N-oxide"	plasma membrane		
YLR229C	"CDC42  Small rho-like GTPase, essential for establishment and maintenance of cell polarity; mutants have defects in the organization of actin and septins"	plasma membrane		
YBR078W	"ECM33  GPI-anchored protein of unknown function, has a possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; similar to Sps2p and Pst1p"	plasma membrane		
YMR058W	"FET3  Ferro-O2-oxidoreductase required for high-affinity iron uptake and involved in mediating resistance to copper ion toxicity, belongs to class of integral membrane multicopper oxidases"	plasma membrane		
YMR307W	"GAS1 (GGP1,CWH52) Beta-1.3-glucanosyltransferase, required for cell wall assembly; localizes to the cell surface via a glycosylphosphatidylinositol (GPI) anchor"	plasma membrane		
YLR342W	"GSC2 (FKS2) Catalytic subunit of 1,3-beta-glucan synthase, has similarity to an alternate catalytic subunit, Fks1p (Gsc1p); Rho1p encodes the regulatory subunit; involved in cell wall synthesis and maintenance"	plasma membrane		
YGR032W	"GSC2 (FKS2) Catalytic subunit of 1,3-beta-glucan synthase, has similarity to an alternate catalytic subunit, Fks1p (Gsc1p); Rho1p encodes the regulatory subunit; involved in cell wall synthesis and maintenance"	plasma membrane		
YBR086C	"IST2  Plasma membrane protein that may be involved in osmotolerance, localizes to the mother cell in small-budded cells and to the bud in medium- and large-budded cells; mRNA is transported to the bud tip by an actomyosin-driven process"	plasma membrane		
YNL098C	"RAS2 (TSL7,GLC5,CYR3,CTN5) GTP-binding protein that regulates the nitrogen starvation response, sporulation, and filamentous growth; farnesylation and palmitoylation required for activity and localization to plasma membrane; homolog of mammalian Ras proto"	plasma membrane		
YER125W	"RSP5 (SMM1,UBY1,NPI1,MUT2,MDP1) Ubiquitin-protein ligase involved in ubiquitin-mediated protein degradation; plays a role in heat shock element (HSE)-mediated gene expression and multivesicular body sorting; contains a hect (homologous to E6-AP carboxyl terminus) domain"	plasma membrane		
YBR080C	SEC18 (ANU4) ATPase required for the release of Sec17p during the 'priming' step in homotypic vacuole fusion and for ER to Golgi transport; homolog of the mammalian NSF	plasma membrane		
YDR011W	SNQ2  ABC transporter protein involved in multidrug resistance and resistance to singlet oxygen species	plasma membrane		
YPR032W	"SRO7 (SOP1,SNI1) Protein with roles in exocytosis and cation homeostasis; functions in docking and fusion of post-Golgi vesicles with plasma membrane; homolog of Sro77p and Drosophila lethal giant larvae tumor suppressor; interacts with SNARE protein Sec9p"	plasma membrane		
YJL093C	"TOK1 (YPK1,YORK,YKC1,DUK1) Outward-rectifier potassium channel of the plasma membrane with two pore domains in tandem, each of which forms a functional channel permeable to potassium; carboxy tail functions to prevent inner gate closures; target of K1 toxin"	plasma membrane		
YJR066W	"TOR1 (DRR1) PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that controls growth in response to nutrients by regulating translation, transcription, ribosome biogenesis, nutrient transport and autophagy; involved in meiosis"	plasma membrane		
YKL203C	"TOR2 (DRR2) PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that regulates growth in response to nutrients and TORC2, a complex that regulates cell-cycle dependent polarization of the actin cytoskeleton; involved in meiosis"	plasma membrane		
YLR373C	"VID22  Glycosylated integral membrane protein localized to the plasma membrane; plays a role in fructose-1,6-bisphosphatase (FBPase) degradation; involved in FBPase transport from the cytosol to Vid (vacuole import and degradation) vesicles"	plasma membrane		
YHR135C	"YCK1 (CKI2) Palmitoylated, plasma membrane-bound casein kinase I isoform; shares redundant functions with Yck2p in morphogenesis, proper septin assembly, endocytic trafficking; provides an essential function overlapping with that of Yck2p"	plasma membrane		
YNL154C	"YCK2  Palmitoylated, plasma membrane-bound casein kinase I isoform; shares redundant functions with Yck1p in morphogenesis, proper septin assembly, endocytic trafficking; provides an essential function overlapping with that of Yck1p"	plasma membrane		
YOR153W	"PDR5 (STS1,YDR1,LEM1) Short-lived membrane ABC (ATP-binding cassette) transporter, actively exports various drugs, expression regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth"	plasma membrane		
YGL008C	"PMA1  Plasma membrane H+-ATPase, pumps protons out of the cell; major regulator of cytoplasmic pH and plasma membrane potential; part of the P2 subgroup of cation-transporting ATPases"	plasma membrane		
YPR149W	NCE102 (NCE2) Protein of unknown function; contains transmembrane domains; involved in secretion of proteins that lack classical secretory signal sequences; component of the detergent-insoluble glycolipid-enriched complexes (DIGs)	plasma membrane		
YML123C	PHO84  High-affinity inorganic phosphate (Pi) transporter and low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p	plasma membrane		
YPR165W	"RHO1  GTP-binding protein of the rho subfamily of Ras-like proteins, involved in establishment of cell polarity; regulates protein kinase C (Pkc1p) and the cell wall synthesizing enzyme 1,3-beta-glucan synthase (Fks1p and Gsc2p)"	plasma membrane		
YMR237W	  Protein that colocalizes with clathrin-coated vesicles; involved in transport at the trans-Golgi	golgi		
YJL123C	  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to COPI-coated vesicles (early Golgi); YJL123C is a non-essential gene	golgi		
YKL135C	"APL2  Beta-adaptin, large subunit of the clathrin-associated protein (AP-1) complex; binds clathrin; involved in clathrin-dependent Golgi protein sorting"	golgi		
YPL259C	APM1 (YAP54) Mu1-like medium subunit of the clathrin-associated protein complex (AP-1); binds clathrin; involved in clathrin-dependent Golgi protein sorting	golgi		
YHL019C	"APM2  Protein of unknown function, homologous to the medium chain of mammalian clathrin-associated protein complex; involved in vesicular transport"	golgi		
YDL192W	"ARF1  ADP-ribosylation factor, GTPase of the Ras superfamily involved in regulation of coated formation vesicles in intracellular trafficking within the Golgi; functionally interchangeable with Arf2p"	golgi		
YDL137W	"ARF2  ADP-ribosylation factor, GTPase of the Ras superfamily involved in regulation of coated formation vesicles in intracellular trafficking within the Golgi; functionally interchangeable with Arf1p"	golgi		
YCR094W	CDC50  Endosomal protein that regulates cell polarity; similar to Ynr048wp and Lem3p	golgi		
YDL145C	"COP1 (SOO1,RET1,SEC33) Alpha subunit of COPI vesicle coatomer complex, which surrounds transport vesicles in the early secretory pathway"	golgi		
YAL026C	"DRS2 (SWA3,FUN38) Integral membrane Ca(2+)-ATPase involved in aminophospholipid translocation; required to form a specific class of secretory vesicles that accumulate upon actin cytoskeleton disruption; mutation affects maturation of the 18S rRNA"	golgi		
YFL048C	"EMP47  Integral membrane component of endoplasmic reticulum-derived COPII-coated vesicles, which function in ER to Golgi transport"	golgi		
YDL226C	"GCS1  ADP-ribosylation factor GTPase activating protein (ARF GAP), involved in ER-Golgi transport; shares functional similarity with Glo3p"	golgi		
YHR108W	"GGA2  Golgi-localized protein with homology to gamma-adaptin, interacts with and regulates Arf1p and Arf2p in a GTP-dependent manner in order to facilitate traffic through the late Golgi"	golgi		
YER122C	"GLO3  ADP-ribosylation factor GTPase activating protein (ARF GAP), involved in ER-Golgi transport; shares functional similarity with Gcs1p"	golgi		
YIL041W	GVP36  Golgi vesicle protein of unknown function; localizes to both early and late Golgi vesicles	golgi		
YLR309C	"IMH1 (SYS3) Protein involved in vesicular transport, mediates transport between an endosomal compartment and the Golgi, contains a Golgi-localization (GRIP) domain that interacts with activated Arl1p-GTP to localize Imh1p to the Golgi"	golgi		
YPL145C	"KES1 (OSH4,LPI3) Member of the oxysterol binding protein family, which includes seven yeast homologs; involved in negative regulation of Sec14p-dependent Golgi complex secretory functions, peripheral membrane protein that localizes to the Golgi complex"	golgi		
YJL186W	"MNN5  Alpha-1,2-mannosyltransferase, responsible for addition of the second alpha-1,2-linked mannose of the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment"	golgi		
YIL048W	NEO1  Protein involved in the retrograde transport from the Golgi complex to the ER and the endosomal membrane traffic; putative aminophospholipid translocase; member of the highly conserved Drs2 family of P-type ATPases	golgi		
YFR051C	"RET2  Delta subunit of the coatomer complex (COPI), which coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER"	golgi		
YPL010W	"RET3  Zeta subunit of the coatomer complex (COPI), which coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER"	golgi		
YDR233C	RTN1  Protein of unknown function; has similarity to mammalian reticulon proteins; member of the RTNLA (reticulon-like A) subfamily	golgi		
YPL218W	"SAR1  GTPase, GTP-binding protein of the ARF family, component of COPII coat of vesicles; required for transport vesicle formation during ER to Golgi protein transport"	golgi		
YMR079W	"SEC14 (PIT1) Phosphatidylinositol/phosphatidylcholine transfer protein involved in coordinate regulation of PtdIns and PtdCho metabolism, products of which are regulators in Golgi to plasma membrane transport; functionally homologous to mammalian PITPs"	golgi		
YPL085W	"SEC16 (LPF1) COPII vesicle coat protein required for ER transport vesicle budding and autophagosome formation; Sec16p is bound to the periphery of ER membranes and may act to stabilize initial COPII complexes; interacts with Sec23p, Sec24p and Sec31p"	golgi		
YNL287W	"SEC21  Gamma subunit of coatomer, a heptameric protein complex that together with Arf1p forms the COPI coat; involved in  ER to Golgi transport of selective cargo"	golgi		
YPR181C	"SEC23  GTPase-activating protein; component of the Sec23p-Sec24p heterodimeric complex of the COPII vesicle coat, involved in ER to Golgi transport and autophagy; stimulates the GDP-bound form of Sar1p"	golgi		
YIL109C	"SEC24 (ANU1) Component of the Sec23p-Sec24p heterodimeric complex of the COPII vesicle coat; involved in ER to Golgi transport, cargo selection and autophagy; required for the binding of the Sec13 complex to ER membranes; homologous to Lst1p and Lss1p"	golgi		
YDR238C	"SEC26  Essential beta-coat protein of the COPI coatomer, involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology; shares 43% sequence identity with mammalian beta-coat protein (beta-COP)"	golgi		
YGL137W	"SEC27  Essential beta'-coat protein of the COPI coatomer, involved in ER-to-Golgi and Golgi-to-ER transport; contains WD40 domains that mediate cargo selective interactions; 45% sequence identity to mammalian beta'-COP"	golgi		
YIL076W	"SEC28 (ANU2) Epsilon-COP subunit of the coatomer; regulates retrograde Golgi-to-ER protein traffic; stabilizes Cop1p, the alpha-COP and the coatomer complex; non-essential for cell growth"	golgi		
YDL195W	"SEC31 (WEB1) Essential phosphoprotein component (p150) of the COPII coat of secretory pathway vesicles, in complex with Sec13p; required for ER-derived transport vesicle formation"	golgi		
YLR026C	"SED5  cis-Golgi t-SNARE syntaxin required for vesicular transport between the ER and the Golgi complex, binds at least 9 SNARE proteins"	golgi		
YHR098C	"SFB3 (LST1) Member of the Sec24p family; forms a complex, with Sec23p, that is involved in sorting of Pma1p into COPII vesicles; peripheral ER membrane protein; potential Cdc28p substrate"	golgi		
YDR189W	SLY1  Hydrophilic protein involved in vesicle trafficking between the ER and Golgi; SM (Sec1/Munc-18) family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex	golgi		
YMR218C	TRS130  One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; involved in ER to Golgi membrane traffic; mutation activates transcription of OCH1	golgi		
YDL058W	"USO1 (INT1) Essential protein involved in intracellular protein transport, coiled-coil protein necessary for transport from ER to Golgi; required for assembly of the ER-to-Golgi SNARE complex"	golgi		
YNL044W	"YIP3  Protein localized to COPII vesicles, proposed to be involved in ER to Golgi transport; interacts with members of the Rab GTPase family and Yip1p"	golgi		
YFL038C	"YPT1 (YP2) Ras-like small GTPase, involved in the ER-to-Golgi step of the secretory pathway; complex formation with the Rab escort protein Mrs6p is required for prenylation of Ypt1p by protein geranylgeranyltransferase type II (Bet2p-Bet4p)"	golgi		
YLR262C	"YPT6  GTPase, Ras-like GTP binding protein involved in the secretory pathway, required for fusion of endosome-derived vesicles with the late Golgi, maturation of the vacuolar carboxypeptidase Y; has similarity to the human GTPase, Rab6"	golgi		
YML012W	"ERV25  Protein that forms a heterotrimeric complex with Erp1, Erp2p, and Emp24, member of the p24 family involved in endoplasmic reticulum to Golgi transport"	golgi		
YNL055C	"POR1 (YVDAC1,OMP2) Mitochondrial porin (voltage-dependent anion channel), outer membrane protein required for the maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability"	golgi		
YNL121C	"TOM70 (OMP1,MOM72,MAS70) Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially directed proteins; acts as a receptor for incoming precursor proteins"	golgi		
YLR268W	"SEC22 (TSL26,SLY2) R-SNARE protein; assembles into SNARE complex with Bet1p, Bos1p and Sed5p; cycles between the ER and Golgi complex; involved in anterograde and retrograde transport between the ER and Golgi; synaptobrevin homolog"	golgi		
YAR002C-A	"ERP1  Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"	golgi		
YGR082W	"TOM20 (MOM19,MAS20) Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially directed proteins; acts as a receptor for incoming precursor proteins"	golgi		
YML125C	  Essential protein required for maturation of Gas1p and Pho8p; GFP-fusion protein localizes to the endoplasmic reticulum; null mutants have a cell separation defect	ER		
YIL039W	  Hypothetical protein	ER		
YNR016C	"ACC1 (MTR7,FAS3,ABP2) Acetyl-CoA carboxylase, biotin containing enzyme that catalyzes the carboxylation of acetyl-CoA to form malonyl-CoA; required for de novo biosynthesis of long-chain fatty acids"	ER		
YPL227C	"ALG5  UDP-glucose:dolichyl-phosphate glucosyltransferase, involved in asparagine-linked glycosylation in the endoplasmic reticulum"	ER		
YGR177C	"ATF2  Alcohol acetyltransferase, may play a role in steroid detoxification; forms volatile esters during fermentation, which is important in brewing"	ER		
YFL025C	"BST1  GPI inositol deacylase of the ER that negatively regulates COPII vesicle formation, prevents production of vesicles with defective subunits, required for proper discrimination between resident ER proteins and Golgi-bound cargo molecules"	ER		
YDR304C	"CPR5 (CYP5) Peptidyl-prolyl cis-trans isomerase (cyclophilin) of the endoplasmic reticulum, catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; transcriptionally induced in response to unfolded proteins in the ER"	ER		
YGL027C	"CWH41 (DER7,GLS1) Processing alpha glucosidase I, ER type II integral membrane N-glycoprotein involved in assembly of cell wall beta 1,6 glucan and asparagine-linked protein glycosylation; also involved in ER protein quality control and sensing of ER stre"	ER		
YDR411C	"DFM1  Protein of unknown function, localizes to the ER, contains four transmembrane domains; member of the Der1p-like family"	ER		
YGR175C	"ERG1  Squalene epoxidase, catalyzes the epoxidation of squalene to 2,3-oxidosqualene; plays an essential role in the ergosterol-biosynthesis pathway and is the specific target of the antifungal drug terbinafine"	ER		
YHR007C	"ERG11 (CYP51) Lanosterol 14-alpha-demethylase, catalyzes the C-14 demethylation of lanosterol to form 4,4''-dimethyl cholesta-8,14,24-triene-3-beta-ol in the ergosterol biosynthesis pathway; member of the cytochrome P450 family"	ER		
YML126C	"ERG13 (HMGS) 3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase, catalyzes the formation of HMG-CoA from acetyl-CoA and acetoacetyl-CoA; involved in the second step in mevalonate biosynthesis"	ER		
YMR202W	"ERG2 (END11) C-8 sterol isomerase, catalyzes the isomerization of the delta-8 double bond to the delta-7 position at an intermediate step in ergosterol biosynthesis"	ER		
YML130C	ERO1  Glycoprotein required for oxidative protein folding in the endoplasmic reticulum	ER		
YDR518W	"EUG1  Protein disulfide isomerase of the endoplasmic reticulum lumen, function overlaps with that of Pdi1p; may interact with nascent polypeptides in the ER"	ER		
YMR052W	"FAR3  Protein involved in G1 cell cycle arrest in response to pheromone, in a pathway different from the Far1p-dependent pathway; interacts with Far7p, Far8p, Far9p, Far10p, and Far11p"	ER		
YDR519W	"FPR2 (FKBP13,FKB2) Membrane-bound peptidyl-prolyl cis-trans isomerase (PPIase), binds to the drugs FK506 and rapamycin; expression pattern suggests possible involvement in ER protein trafficking"	ER		
YDL100C	"GET3 (ARR4) ATPase, subunit of the GET complex; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion; involved in resistance to heat and metal stress"	ER		
YDR221W	"GTB1  Glucosidase II beta subunit, forms a complex with alpha subunit Rot2p, involved in removal of two glucose residues from N-linked glycans during glycoprotein biogenesis in the ER"	ER		
YJL073W	"JEM1 (KAR8) DnaJ-like chaperone required for nuclear membrane fusion during mating, localizes to the ER membrane; exhibits genetic interactions with KAR2"	ER		
YJL034W	"KAR2 (GRP78,BIP) ATPase involved in protein import into the ER, also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protein response via interaction with Ire1p"	ER		
YOR336W	"KRE5  Protein required for beta-1,6 glucan biosynthesis; mutations result in aberrant morphology and severe growth defects"	ER		
YKL073W	"LHS1 (SSI1,CER1) Molecular chaperone of the endoplasmic reticulum lumen, involved in polypeptide translocation and folding; member of the Hsp70 family; localizes to the lumen of the ER; regulated by the unfolded protein response pathway"	ER		
YOL088C	"MPD2  Member of the protein disulfide isomerase (PDI) family, exhibits chaperone activity; overexpression suppresses the lethality of a pdi1 deletion but does not complement all Pdi1p functions; undergoes oxidation by Ero1p"	ER		
YBR170C	"NPL4 (HRD4) Endoplasmic reticulum and nuclear membrane protein, forms a complex with Cdc48p and Ufd1p that recognizes ubiquitinated proteins in the endoplasmic reticulum and delivers them to the proteasome for degradation"	ER		
YCL043C	"PDI1 (TRG1,MFP1) Protein disulfide isomerase, multifunctional protein resident in the endoplasmic reticulum lumen, essential for the formation of disulfide bonds in secretory and cell-surface proteins, unscrambles non-native disulfide bonds"	ER		
YBR229C	"ROT2 (GLS2) Glucosidase II catalytic subunit required for normal cell wall synthesis; mutations in rot2 suppress tor2 mutations, and are synthetically lethal with rot1 mutations"	ER		
YMR214W	"SCJ1  One of several homologs of bacterial chaperone DnaJ, located in the ER lumen where it cooperates with Kar2p to mediate maturation of proteins"	ER		
YJL080C	"SCP160  Essential RNA-binding G protein effector of mating response pathway, predominantly associated with nuclear envelope and ER, interacts in mRNA-dependent manner with translating ribosomes via multiple KH domains, similar to vertebrate vigilins"	ER		
YDL122W	UBP1  Ubiquitin-specific protease that removes ubiquitin from ubiquitinated proteins; cleaves at the C terminus of ubiquitin fusions irrespective of their size; capable of cleaving polyubiquitin chains	ER		
YGR048W	"UFD1  Protein that interacts with Cdc48p and Npl4p, involved in recognition of polyubiquitinated proteins and their presentation to the 26S proteasome for degradation; involved in transporting proteins from the ER to the cytosol"	ER		
YFL004W	VTC2 (PHM1) Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in protein localization and non-autophagic vacuolar fusion	ER		
YJL012C	"VTC4 (YJL012C-A,PHM3) Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in non-autophagic vacuolar fusion"	ER		
YER004W	"  The authentic, non-tagged protein was localized to the mitochondria"	ER		
YDR294C	"DPL1 (BST1) Dihydrosphingosine phosphate lyase, regulates intracellular levels of sphingolipid long-chain base phosphates (LCBPs), degrades phosphorylated long chain bases, prefers C16 dihydrosphingosine-l-phosphate as a substrate"	ER		
YGL200C	"EMP24 (BST2) Integral membrane component of endoplasmic reticulum-derived COPII-coated vesicles, which function in ER to Golgi transport"	ER		
YGL001C	"ERG26  C-3 sterol dehydrogenase, catalyzes the second of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis"	ER		
YDR062W	"LCB2 (TSC1,SCS1) Component of serine palmitoyltransferase, responsible along with Lcb1p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine"	ER		
YKL165C	"MCD4 (FSR2,SSU21,ZRG16) Protein involved in glycosylphosphatidylinositol (GPI) anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes"	ER		
YDL095W	"PMT1  Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt2p, can instead interact with Pmt3p in some conditions; target for new antifungals"	ER		
YGR199W	"PMT6  Protein O-mannosyltransferase, transfers mannose from dolichyl phosphate-D-mannose to protein serine/threonine residues of secretory proteins; reaction is essential for cell wall rigidity; member of a family of mannosyltransferases"	ER		
YOR254C	"SEC63 (PTL1) Essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p); with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER"	ER		
YEL031W	"SPF1 (PER9,PIO1,COD1) P-type ATPase, ion transporter of the ER membrane involved in ER function and Ca2+ homeostasis; required for regulating Hmg2p degradation; confers sensitivity to a killer toxin (SMKT) produced by Pichia farinosa KK1"	ER		
